time,duration,source_ip,destination_ip,protocol,packet_len,dif_serv,flag,ip_vers,src_port,dst_port,data_len,seq,seq_raw,next_seq,ack,ack_raw,flags_res,flags_ns,flags_cwr,flags_ecn,flags_urg,flags_ack,flags_push,flags_reset,flags_syn,flags_fin,win_size,checksum,checksum_status,urgent_pointer,proto_type,proto_size,hw_type,hw_size,hw_opcode,src_hw_mac,dst_hw_mac
1.318014,0.09070611,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.68E-07,0.563200337,1.68E-07,9.14E-06,0.719957296,0,0,0,0,0,1,0,0,0,0,0.750759136,0.54866865,2,0,0,0,0,0,0,0,0
1.502034,0.184019804,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,1.68E-07,0.563200337,1.89E-07,9.14E-06,0.719957296,0,0,0,0,0,1,1,0,0,0,0.770428016,0.495246815,2,0,0,0,0,0,0,0,0
1.530733,0.02869916,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,9.14E-06,0.719957296,9.18E-06,1.89E-07,0.563200358,0,0,0,0,0,1,1,0,0,0,0.007858396,0.329884794,2,0,0,0,0,0,0,0,0
1.530849,0.000115871,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,9.18E-06,0.719957335,9.51E-06,1.89E-07,0.563200358,0,0,0,0,0,1,0,0,0,0,0.007858396,0.653376059,2,0,0,0,0,0,0,0,0
1.530849,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,9.51E-06,0.719957665,9.84E-06,1.89E-07,0.563200358,0,0,0,0,0,1,0,0,0,0,0.007858396,0.677943084,2,0,0,0,0,0,0,0,0
1.530849,0,0.039062574,0.140407403,0.023529412,0.02105745,0,64,0.666666667,0.023025864,0.138735027,0.020233463,9.84E-06,0.719957996,1.02E-05,1.89E-07,0.563200358,0,0,0,0,0,1,1,0,0,0,0.007858396,0.114579995,2,0,0,0,0,0,0,0,0
1.5809,0.050050974,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.89E-07,0.563200358,1.89E-07,9.18E-06,0.719957335,0,0,0,0,0,1,0,0,0,0,0.770428016,0.525093462,2,0,0,0,0,0,0,0,0
1.581087,0.000187159,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,1.02E-05,0.719958305,1.02E-05,1.89E-07,0.563200358,0,0,0,0,0,1,1,0,0,0,0.007858396,0.149721523,2,0,0,0,0,0,0,0,0
1.581207,0.000119925,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.89E-07,0.563200358,1.89E-07,9.84E-06,0.719957996,0,0,0,0,0,1,0,0,0,0,0.758800641,0.493385214,2,0,0,0,0,0,0,0,0
1.581207,0,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.89E-07,0.563200358,1.89E-07,1.02E-05,0.719958305,0,0,0,0,0,1,0,0,0,0,0.750988022,0.48096437,2,0,0,0,0,0,0,0,0
1.631393,0.050185919,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,1.89E-07,0.563200358,1.89E-07,1.02E-05,0.719958312,0,0,0,0,0,1,0,0,0,0,0.770428016,0.461066606,2,0,0,0,0,0,0,0,0
1.663956,0.032562971,0.140407403,0.039062574,0.023529412,0.002197299,0,64,0.666666667,0.138735027,0.023025864,0.001373312,1.89E-07,0.563200358,2.10E-07,1.02E-05,0.719958312,0,0,0,0,0,1,1,0,0,0,0.770428016,0.700923171,2,0,0,0,0,0,0,0,0
0.999614,0.016990185,0.039062572,0.937499999,0.066666667,0.00328069,0,0,0.666666667,0.893873503,0.028992142,0.002761883,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.819455253,2,0.5,0,0,0,0,0,0,0
1.688421,0.007474899,0.039062574,0.140407403,0.023529412,0.003356985,0,64,0.666666667,0.023025864,0.138735027,0.002532998,1.02E-05,0.719958312,1.02E-05,2.10E-07,0.563200379,0,0,0,0,0,1,1,0,0,0,0.007843137,0.19781796,2,0,0,0,0,0,0,0,0
1.688502,8.11E-05,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,1.02E-05,0.71995835,1.05E-05,2.10E-07,0.563200379,0,0,0,0,0,1,0,0,0,0,0.007843137,0.20593576,2,0,0,0,0,0,0,0,0
1.688502,0,0.039062574,0.140407403,0.023529412,0.022491798,0,64,0.666666667,0.023025864,0.138735027,0.021667811,1.05E-05,0.719958681,1.09E-05,2.10E-07,0.563200379,0,0,0,0,0,1,0,0,0,0,0.007843137,0.563408865,2,0,0,0,0,0,0,0,0
1.688502,0,0.039062574,0.140407403,0.023529412,0.021103227,0,64,0.666666667,0.023025864,0.138735027,0.02027924,1.09E-05,0.719959012,1.12E-05,2.10E-07,0.563200379,0,0,0,0,0,1,1,0,0,0,0.007843137,0.3538262,2,0,0,0,0,0,0,0,0
1.739902,0.051399946,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,2.10E-07,0.563200379,2.10E-07,1.05E-05,0.719958681,0,0,0,0,0,1,0,0,0,0,0.770428016,0.435492485,2,0,0,0,0,0,0,0,0
1.739902,0,0.140407403,0.039062574,0.023529412,0.000915541,0,64,0.666666667,0.138735027,0.023025864,0,2.10E-07,0.563200379,2.10E-07,1.12E-05,0.719959321,0,0,0,0,0,1,0,0,0,0,0.770428016,0.393545434,2,0,0,0,0,0,0,0,0
1.73994,3.79E-05,0.039062574,0.140407403,0.023529412,0.001281758,0,64,0.666666667,0.023025864,0.138735027,0.000457771,1.12E-05,0.719959321,1.12E-05,2.10E-07,0.563200379,0,0,0,0,0,1,1,0,0,0,0.007843137,0.105271992,2,0,0,0,0,0,0,0,0
